Date,Close,Open,High,Low,Volume
2010-12-15,27.25,25.0,28.75,24.5,8926016.0
2010-12-16,27.35,26.84,28.47,26.84,464557.0
2010-12-17,28.07,27.17,28.2,27.17,185871.0
2010-12-20,28.53,28.74,29.18,28.16,450785.0
2010-12-21,29.75,29.0,30.0,28.98,696535.0
2010-12-22,29.08,29.63,30.2,28.96,123495.0
2010-12-23,30.81,28.91,30.81,28.91,128609.0
2010-12-27,30.99,30.83,31.43,30.5,154094.0
2010-12-28,31.06,30.83,31.42,30.06,74822.0
2010-12-29,31.0,31.0,31.43,30.58,154932.0
2010-12-30,30.8,30.71,30.99,30.53,58178.0
2010-12-31,30.92,30.57,30.98,30.34,18453.0
2011-01-03,30.47,31.25,31.25,30.1,219796.0
2011-01-04,29.98,30.0,30.23,28.75,460724.0
2011-01-05,30.4,30.11,30.5,30.0,167062.0
2011-01-06,30.03,30.73,30.73,30.03,56861.0
2011-01-07,29.99,30.24,30.47,29.61,92865.0
2011-01-10,30.0,30.0,30.15,29.95,121532.0
2011-01-11,31.14,30.05,31.23,30.0,53508.0
2011-01-12,30.94,31.36,31.5,30.9,62738.0
2011-01-13,30.2,30.9,30.9,29.56,464220.0
2011-01-14,30.25,30.07,30.42,30.0,174851.0
2011-01-18,30.23,29.86,30.51,29.23,328350.0
2011-01-19,30.19,30.02,30.46,29.95,234382.0
2011-01-20,30.05,30.02,30.4,29.89,142314.0
2011-01-21,30.5,30.16,30.84,30.16,403434.0
2011-01-24,31.57,30.01,31.63,29.89,162652.0
2011-01-25,31.05,31.4,32.97,30.98,213312.0
2011-01-26,31.3,31.07,32.17,30.0,235696.0
2011-01-27,30.2,31.19,31.33,30.11,54458.0
2011-01-28,29.98,30.03,30.28,29.7,192258.0
2011-01-31,30.0,29.95,30.31,29.72,63447.0
2011-02-01,30.04,30.05,30.47,29.91,105959.0
2011-02-02,30.0,29.82,30.09,29.81,36407.0
2011-02-03,30.0,29.96,30.02,29.5,137793.0
2011-02-04,29.99,30.0,30.12,29.75,86510.0
2011-02-07,30.51,29.94,31.54,29.92,111045.0
2011-02-08,31.16,30.62,31.36,30.53,80364.0
2011-02-09,31.28,30.99,31.35,30.93,46152.0
2011-02-10,31.27,31.08,31.46,30.9,93196.0
2011-02-11,31.51,31.08,31.51,30.82,38827.0
2011-02-14,31.0,31.37,31.37,30.87,95966.0
2011-02-15,31.0,30.84,31.17,30.75,65650.0
2011-02-16,31.48,31.17,31.49,31.0,54454.0
2011-02-17,32.5,31.4,35.13,31.17,135257.0
2011-02-18,33.51,32.7,33.79,32.29,120169.0
2011-02-22,31.96,33.15,33.58,31.68,147267.0
2011-02-23,32.0,31.95,32.36,31.77,134821.0
2011-02-24,32.49,32.62,33.36,32.33,148037.0
2011-02-25,32.06,32.6,32.81,31.8,145883.0
2011-02-28,31.99,32.15,32.32,31.68,160748.0
2011-03-01,30.7,31.95,32.5,30.43,76626.0
2011-03-02,30.07,30.61,30.61,29.79,164659.0
2011-03-03,30.7,30.25,30.76,30.16,109719.0
2011-03-04,30.75,30.71,30.89,30.07,65259.0
2011-03-07,30.36,30.76,30.93,30.08,43556.0
2011-03-08,30.44,30.45,30.84,30.3,46381.0
2011-03-09,30.17,30.36,30.48,29.81,37187.0
2011-03-10,30.25,29.9,30.51,29.61,53294.0
2011-03-11,30.51,30.23,30.98,29.89,41940.0
2011-03-14,31.33,30.32,31.36,30.14,52032.0
2011-03-15,31.55,30.81,31.6,30.17,66979.0
2011-03-16,31.43,31.45,31.86,31.11,64908.0
2011-03-17,31.35,31.81,31.93,30.83,94391.0
2011-03-18,31.58,31.73,31.82,31.21,166482.0
2011-03-21,33.15,31.92,33.58,31.71,74761.0
2011-03-22,32.73,33.07,33.07,32.72,92770.0
2011-03-23,33.31,32.75,33.43,31.9,87818.0
2011-03-24,33.17,33.42,34.1,32.97,63126.0
2011-03-25,33.09,33.18,33.55,32.76,69568.0
2011-03-28,34.4,33.09,34.91,32.9,89165.0
2011-03-29,32.7,34.28,34.31,32.39,129036.0
2011-03-30,32.47,32.8,33.0,32.05,244511.0
2011-03-31,32.66,32.39,33.01,31.52,713553.0
2011-04-01,34.08,32.7,34.3,32.56,142054.0
2011-04-04,34.0,34.06,34.13,33.66,75923.0
2011-04-05,33.82,34.03,34.04,33.65,33246.0
2011-04-06,32.79,33.85,33.9,32.41,101206.0
2011-04-07,33.33,32.81,33.39,32.08,49965.0
2011-04-08,33.09,33.34,33.42,32.66,59376.0
2011-04-11,33.37,33.0,33.52,32.8,55329.0
2011-04-12,33.29,33.19,33.42,32.86,52788.0
2011-04-13,33.49,33.42,33.54,33.06,49959.0
2011-04-14,33.67,33.3,33.75,33.3,31461.0
2011-04-15,34.26,33.65,34.26,33.56,47589.0
2011-04-18,33.76,33.97,34.29,33.43,65780.0
2011-04-19,34.22,33.84,34.3,33.84,20014.0
2011-04-20,34.82,34.52,34.94,34.48,28364.0
2011-04-21,34.64,34.95,35.3,34.33,46828.0
2011-04-25,34.29,34.49,34.49,33.86,20807.0
2011-04-26,34.63,34.4,34.75,34.02,42428.0
2011-04-27,34.81,34.69,34.83,34.49,21362.0
2011-04-28,36.79,34.79,36.87,34.69,41438.0
2011-04-29,37.51,36.69,38.0,36.69,49935.0
2011-05-02,36.13,37.76,37.88,35.96,34850.0
2011-05-03,34.12,36.11,36.16,33.95,68212.0
2011-05-04,34.09,34.04,34.18,33.04,39126.0
2011-05-05,34.72,34.0,34.92,33.53,47813.0
2011-05-06,33.18,34.83,34.99,32.91,38647.0
2011-05-09,33.12,33.1,33.51,31.95,52330.0
2011-05-10,33.78,33.11,34.22,32.99,101774.0
2011-05-11,33.39,33.63,33.72,32.69,82277.0
2011-05-12,33.61,33.41,33.75,33.15,35552.0
2011-05-13,35.38,33.66,35.41,33.41,98600.0
2011-05-16,35.15,35.21,36.17,34.99,42117.0
2011-05-17,34.07,35.14,37.77,33.75,390016.0
2011-05-18,35.0,34.01,35.02,33.89,71656.0
2011-05-19,36.0,35.0,36.08,34.9,67746.0
2011-05-20,35.5,35.82,36.21,35.27,78121.0
2011-05-23,34.87,35.15,35.26,34.33,85249.0
2011-05-24,34.34,35.07,35.07,34.22,56620.0
2011-05-25,33.72,34.32,34.54,33.52,47709.0
2011-05-26,33.69,33.5,34.01,33.05,60564.0
2011-05-27,33.37,33.9,33.9,32.6,106822.0
2011-05-31,33.74,33.77,34.03,32.87,916084.0
2011-06-01,33.0,33.63,33.66,32.98,238903.0
2011-06-02,32.91,32.84,33.14,32.55,74070.0
2011-06-03,31.79,32.7,32.7,31.67,54454.0
2011-06-06,31.08,31.59,31.82,30.88,207080.0
2011-06-07,30.62,31.15,31.6,30.43,156434.0
2011-06-08,30.0,30.6,30.68,29.87,160821.0
2011-06-09,30.04,30.06,30.28,29.87,202335.0
2011-06-10,29.16,29.85,30.04,29.16,326751.0
2011-06-13,30.01,28.99,30.25,28.78,831867.0
2011-06-14,30.16,30.18,30.75,29.83,586536.0
2011-06-15,30.09,29.92,30.32,29.68,634132.0
2011-06-16,30.07,30.02,30.15,29.82,143716.0
2011-06-17,30.23,30.12,30.46,30.01,216486.0
2011-06-20,30.0,30.06,30.36,29.76,324900.0
2011-06-21,30.35,30.23,30.39,29.56,220360.0
